"Szakmagyakorlási 
terület 
megnevezése"$"Szakterület/ 
$Belsõépítészeti tervezési szakterület$BÉ$Építmények teljes körû belsõépítészeti tervezése. Külön jogszabály szerinti belsõépítészeti terv készítése.$"okleveles építész tervezõ mûvész,
okleveles belsõépítész
környezet tervezõ mûvész"$2 év
$Kertépítészeti mûtárgy tervezési szakterület$ÉKM$Tartószerkezeti szakági tervezõ bevonásával 4,5 m-nél magasabb kerti építmény, 1,0 m-nél magasabb támfal, úszómedence szerkezete, 2,0 m-nél magasabb tömör kerítés, 45 foknál meredekebb terep rendezése.$"táj- és kertépítészeti szakon
végzett okleveles kertész mérnök,
okleveles tájépítész mérnök,
okleveles tájépítész"$2 év
Táj- és kertépítészeti tervezési terület$$K$Terep és zöldfelületek kertépítészeti kialakításának a tervezése (a belsõ út és burkolatrendszerrel együtt); kertépítészeti, növénytelepítési, valamint önálló táj- és kertépítészeti tervek készítése (közpark, közkert, köztér, történeti kert stb.), továbbá a kertépítészeti mûtárgy tervezési szakterületnél (ÉKM) meghatározott feladatok. Telepítési tanulmányterv, beépítési terv zöldfelület alakítási munkarészeinek elkészítése, valamint ha jogszabály táj- és természetvédelmi szakhatósági közremûködést ír elõ, az ehhez szükséges jogszabályban meghatározott dokumentáció elkészítése.$"táj- és kertépítészeti szakon 
végzett okleveles kertészmérnök, 
okleveles tájépítész mérnök, 
okleveles tájépítész"$2 év
$Közlekedési építmények tervezési szakterület$KÉ$részszakterület szerint$részszakterület szerint$
Sajátos mûszaki tervezési terület$Közlekedési építmények tervezési szakterület vasúti építmények tervezési részszakterület$KÉ-VA$Országos közforgalmú, helyi és saját használatú vasutak, iparvágányok, városi közúti vasutak, földalatti vasutak pályatervezése. Vasúti felépítmény-szerkezetek tervezése. Vasúti mûtárgy tervezés 2,0 m nyílásig. Üzemi létesítmények (rendezõk, rakodók, átfejtõk, tárolók) és a vasúti üzem tervezése. Közúti és gyalogos, kerékpáros átvezetések tervezése. Közlekedési eszközök pályáinak (fogaskerekû vasút, sikló, függõpálya, beleértve a bányászati függõpályát is), sífelvonó-, külszíni bányászati kisvasút- és szalagpálya tervezése. Kivéve az erdõrõl, az erdõ védelmérõl és az erdõgazdálkodásról szóló 2009. évi XXXVII. törvény szerinti erdészeti szállítópálya egyéb elemei tervezése.$"okleveles közlekedés-
építõmérnök,

közlekedés-építõmérnök"$"3 év 


5 év"
$Közlekedési építmények tervezési szakterület vasúti építmények közlekedésmérnöki tervezési részszakterület$KÉ-VK$Vasúti felépítmény-szerkezetek tervezése. Üzemi létesítmények (rendezõk, rakodók, átfejtõk, tárolók) és a vasúti üzem tervezése. Különleges közlekedési eszközök (fogaskerekû vasút, sikló, függõpálya, beleértve a bányászati függõpályát is, sífelvonó-, külszíni bányászati kisvasút- és szalagpálya) telepítésének, üzemének tervezése$"okleveles közlekedésmérnök,

közlekedésmérnök"$"3 év 

5 év"
$Közlekedési építmények tervezési szakterület, vasúti villamos berendezések, áramellátás, részszakterület$KÉ-VV$Vasúti pálya tartozékainak minõsülõ építmények közül a vasúti térvilágító berendezések, a vasúti jelzõ- és biztosító berendezések, villamos felsõvezeték és az ehhez kapcsolt berendezés, valamint a távvezérlõ és forgalomirányító rendszerek, áramellátás, vasúti vontatási energiaellátó (alállomás) és energiatávvezérlõ rendszerek, váltófûtõ rendszerek tervezése$"okleveles közlekedésmérnök, 
okleveles villamosmérnök, 
okleveles gépészmérnök,

közlekedésmérnök, 
villamosmérnök, 
gépészmérnök"$"3 év 



5 év"
$Közlekedési építmények tervezési szakterület közúti építmények tervezési részszakterület$KÉ-K$Közút, út, (kerékpárút, gyalogút, térburkolat) - beleértve azok csomópontjait, vízelvezetését, berendezéseit, tartozékait és üzemi létesítményeit - tervezése. Közúti mûtárgyak tervezése, 4 m nyílásig. Valamennyi közút forgalom szabályozásának, forgalomirányításának tervezése. Közúti alagút rendszertervének tervezése. Támfal tervezése 2,0 m magasságig. Kivéve az erdõrõl, az erdõ védelmérõl és az erdõgazdálkodásról szóló 2009. évi XXXVII. törvény szerinti erdészeti magánút tervezése.$"okleveles közlekedés-
építõmérnök,

közlekedés-építõmérnök"$"3 év 


5 év"
$Közlekedési építmények tervezési szakterület, közúti építmények közlekedésmérnöki tervezési részszakterület$KÉ-KK$Valamennyi közút forgalomszabályozásának, forgalomirányításának tervezése. Közúti üzemi létesítmények és mûködtetésük tervezése$"okleveles közlekedésmérnök, 

közlekedésmérnök"$"3 év 

5 év"
$Közlekedési építmények tervezési szakterület légiközlekedési építmények tervezési részszakterület$KÉ-L$Repülõtér (vízi repülõtér és helioport is) pályarendszerének mûszaki tervezése, létesítés, fejlesztés, védõterület kijelölés. Futópálya, gurulóút, légi jármû állóhely, repülõtéri tároló helyek tervezése.$"okleveles közlekedés-
építõmérnök, 
okleveles közlekedésmérnök,

közlekedés-építõmérnök, 
közlekedésmérnök"$"3 év 



5 év"
$Közlekedési építmények tervezési szakterület légiközlekedési építmények közlekedésmérnöki tervezési részszakterület$KÉ-LK$Légi közlekedési építmények üzemi folyamatainak, technológiájának, a technológiai és üzemi létesítményeknek a tervezése.$"okleveles közlekedésmérnök, 
okleveles villamosmérnök,

közlekedésmérnök, 
villamosmérnök"$"3 év 


5 év"
$Közlekedési építmények tervezési szakterület hajózási építmények tervezési részszakterület$KÉ-HA$Hajózási építmények tervezése.$"okleveles közlekedés-
építõmérnök, 
okleveles közlekedésmérnök,

közlekedés-építõmérnök, közlekedésmérnök"$"3 év 



5 év"
$Közlekedési építmények tervezési szakterület hajózási építmények közlekedésmérnöki tervezési részszakterület$KÉ-HK$Hajózási építmények üzemének, forgalomirányításának, jelzésrendszerének tervezése$"okleveles közlekedésmérnök, 
okleveles villamosmérnök,

közlekedésmérnök, 
villamosmérnök"$"3 év 


5 év"
$Hírközlési építmények tervezési szakterület$HI$részszakterület szerint$részszakterület szerint$
$Hírközlési építmények tervezési szakterület vezetékes hírközlési építmények tervezési részszakterület$HI-V$Vezetékes infokommunikációs rendszerek és hálózatok, önálló vagy együttes rendszerekben, helyközi és helyi jellegû viszonylatokban, valamint fix telepítésû informatikai rendszerek és hálózatok tervezése. Az elhelyezéshez szükséges alépítmények és mûtárgyak, földfeletti tartószerkezetek tervezése.$"okleveles villamosmérnök, 
okleveles mérnök 
informatikus,

villamosmérnök, 
mérnökinformatikus"$"3 év 



5 év"
$Hírközlési építmények tervezési szakterület vezeték nélküli hírközlési építmények tervezési részszakterület$HI-VN$Vezeték nélküli infokommunikációs rendszerek és hálózatok, önálló vagy együttes rendszerekben, helyközi és helyi jellegû viszonylatokban, ezek építményeinek tervezése.$"okleveles villamosmérnök, 
okleveles mérnök 
informatikus, 

villamosmérnök, 
mérnökinformatikus"$"3 év 



5 év"
$Vízgazdálkodási építmények tervezési szakterület$VZ$részszakterület szerint$részszakterület szerint$
$Vízgazdálkodási építmények tervezési szakterület települési víziközmû tervezési részszakterület$VZ-TEL$Települési vízgazdálkodási építmények (ivó- és ipari vízellátás, víztisztítás, fürdõ és uszoda víztechnológia építményei, szennyvízelvezetés, szennyvíztisztítás, települési csapadékvíz elvezetés építmények) tervezése.$"okleveles építõmérnök,

építõmérnök, 
vízépítési üzemmérnök"$"3 év 

5 év"
$Vízgazdálkodási építmények tervezési szakterület területi vízgazdálkodás építmények tervezési részszakterület$VZ-TER$Területi vízgazdálkodás építmények (ár- és belvízmentesítés, öntözés, vízépítési nagymûtárgyak, térségi vízgazdálkodási rendszerek építmények) tervezése.$"okleveles építõmérnök,

építõmérnök, 
vízépítési üzemmérnök"$"3 év 

5 év"
$Vízgazdálkodási építmények tervezési szakterület vízkészlet gazdálkodás építmények tervezési részszakterület$VZ-VKG$Vízkészlet gazdálkodás építmények, vízrajz, vízfeltárás kútfúrás, vízbázis-védelem, vízminõségi kárelhárítás építményei tervezése, valamint az ezek alapját képezõ hidraulikai, hidrodinamikai, hidrológiai, vízgyûjtõ-gazdálkodási tervezés.$"okleveles építõmérnök,

építõmérnök, 
vízépítési üzemmérnök"$"3 év 

5 év"
$Bányászati építmények tervezési szakterület$B$Szilárdásványi nyersanyagok bányászatával kapcsolatos bányászati létesítmények, mûtárgyak, bányamûvelési üzemi technológiai és üzemeltetési tervei, nem bányászati célú, bányászati módszerekkel épülõ földalatti létesítmények, közmû és közlekedési célú alagutak tervezése.$okleveles bánya- és geotechnika mérnök$3 év
$Gáz- és olajipari építmények tervezési szakterület$GO$Kõolaj- és földgáz bányászatához, valamint ezek és a kõolajtermékek szállításához, feldolgozásához, tárolásához szükséges építmények és vezetékhálózat, cseppfolyós gáz tárolás és töltés építményei, vezetékes földgáz és PB-gáz elosztás, egyéb természetben képzõdõ vagy mesterségesen elõállított gázok továbbítására szolgáló építmények tervezése.$okleveles gáz- és olajipari mérnök$3 év
$Energiaellátási építmények tervezési szakterület$EN$részszakterület szerint$részszakterület szerint$
$Energiaellátási építmények tervezési szakterület hõenergetikai építmények tervezési részszakterület$EN-HÕ$Hõenergetikai elõállító-átalakító és -tároló rendszerek építményeinek és berendezéseinek tervezése, energiaátviteli, elosztó és szolgáltató rendszerek építményeinek tervezése.$"okleveles szakirányú gépészmérnök, 
okleveles villamosmérnök, 
okleveles energetikai mérnök,"$3 év
$Energiaellátási építmények tervezési szakterület villamosenergetikai építmények tervezési részszakterület$EN-VI$Villamosenergetikai elõállító-átalakító és -tároló rendszerek építményeinek és berendezéseinek, energiaátviteli, elosztó és szolgáltató rendszerek építményeinek tervezése.$"gépészmérnök, villamosmérnök, 
energetikai mérnök,"$5 év
$Energiaellátási építmények tervezési szakterület megújuló energia építmények tervezési részszakterület$EN-ME$Megújuló energia építmények tervezése: geotermikus, napkollektoros, fotovillamos, biomassza és biogáz, szélerõmûvek, vízerõmûvek energetikai elõállító-átalakító és -tároló rendszerek építményeinek és berendezéseinek tervezése, energiaátviteli, elosztó és szolgáltató rendszerek építményeinek tervezése.$$
$Energiaellátási építmények tervezési szakterület atomenergia építmények tervezési részszakterület$EN-A$Atomenergia alkalmazására szolgáló építmények tervezése.$"okleveles szerkezet-
építõmérnök, 
okleveles építészmérnök (tartószerkezeti kreditteljesítéssel)"$7 év
$Hídszerkezeti tervezési szakterület$HT$Építmények tartószerkezeteinek mechanikai ellenállás és stabilitásra történõ tervezése, beleértve a földrengés és tûzhatásra történõ tervezést, híd- és különleges szerkezetek tervezése.$"okleveles szerkezet- 
építõmérnök 
(emelt szintû szakirányú kredit-tartalommal)"$7 év
Szakági mûszaki tervezési terület$Tartószerkezeti tervezési szakterület$T$Építmények tartószerkezeteinek mechanikai ellenállás és stabilitásra történõ tervezése, beleértve a földrengés és tûzhatásra történõ tervezést.$"okleveles szerkezet- 
építõmérnök"$5 év
$Tartószerkezeti tervezési szakterület épületektartószerkezeti tervezési részszakterület$T-É$Épületek tartószerkezeteinek mechanikai ellenállás és stabilitásra történõ tervezése.$"okleveles építészmérnök 
(épületek tartószerkezeti kredit-teljesítéssel)"$5 év
$Építmények gépészeti tervezési szakterület$G$Épületek vízellátó, valamint szenny- és csapadékvíz-elvezetõ hálózatai és berendezései, épületek gázellátó, hõellátó rendszerei, berendezései, energiaellátó központok tervezése, épület energiagazdálkodás tervezése, hûtési és hõszivattyús, lég- és klímatechnikai rendszerek, a környezeti (megújuló) energiák hasznosításával kapcsolatos rendszerek, fürdõ és uszoda gépészeti rendszerek tervezése.$"okleveles gépészmérnök 
épületgépész szakirány, 
okleveles energetikai 
mérnök épületgépész 
szakirány, okleveles 
létesítménymérnök 
épületgépész szakirány, 

gépészmérnök épületgépészeti szakirány, épületgépész mérnök"$"3 év 







5 év"
$Építmények gépészeti tervezési szakterület épületfizikai tervezési részszakterület$G-ÉF$Épületfizikai (hõ-, hang-, rezgés elleni védelmi) tervezés, helyszíni körülmények mérése, sajátosságok felmérése, kiindulási adatok rögzítése - hõszigetelése, nedvesség viszonyok, légáteresztés megítélése, akusztikai minõségek, szerkezetek, hangszigetelések különbözõ eseteinek elemzése, épületek, épületrészek, különbözõ szerkezetek komplex vizsgálatai, méretezései, szerkezeti kialakításai, megoldások tervezése.$"okleveles építészmérnök, 
okleveles szerkezetépítõ 
mérnök, 
okleveles gépészmérnök"$3 év
$Építményvillamossági tervezési szakterület$V$Építmények és szabad terek közép- és kisfeszültségû rendszereinek (kül- és beltéri világítás, villámvédelem, folyamatirányítás, építményautomatika, távközlési és informatikai hálózat, villamos energiaellátó rendszerek a fogyasztói oldaltól a közcélú csatlakozási pontig) tervezése.$"okleveles villamosmérnök, 

villamosmérnök épületvillamossági szakirány"$"3 év 

5 év"
$Geotechnikai tervezési szakterület$GT$Talajvizsgálati jelentések készítése, földmûvek, sziklamunkák, víztelenítés, talajjavítás, talajerõsítés tervezése, talajdinamika, dinamikus hatásoknak kitett szerkezetek tervezése, földalatti mûtárgyak, mély munkagödrök, talajhorgonyzások támszerkezetek tervezése, geotechnikai szerkezetek mérése, próbaterhelése, geotechnikai monitoring.$"okleveles építõmérnök 
szerkezet szakirány, okleveles építõmérnök geotechnika szakirány"$3 év
$Magasépítési szakterület$ME-É$"Az általános építmények építésére, átalakítására, bõvítésére, felújítására, helyreállítására, korszerûsítésére, lebontására, elmozdítására irányuló építési munkák teljes körû építési mûszaki ellenõrzése.
Az ellenõrzés az Épkiv. 22. § (3) bekezdés c)-d) pontjában meghatározott szakági munkára nem vonatkozik."$"okleveles építõmérnök, 
okleveles építészmérnök,

építõmérnök, építészmérnök"$"3 év


4 év"
$Mélyépítési és mélyépítési mûtárgyak szakterület$ME-M$A magasépítési szakterületnél meghatározott építményhez szerkezetileg vagy funkciójában kapcsolódó alapozási, szennyvíztisztítási, szennyvíztárolási, szivárgó, víztelenítési, mûtárgyépítési, föld- és tereprendezési, valamint felszíni vízelvezetési munkáinak ellenõrzése.$"okleveles építõmérnök, 

építõmérnök"$"3 év 

4 év"
$Építménygépészeti szakterület$ME-G$Építmények fûtési, szellõzési, valamint az építményen, illetõleg telekhatáron belüli vízellátási, csatornázási és gázhálózat szerelési munkáinak ellenõrzése a mérõóráig.$"okleveles gépészmérnök épületgépész szakirány, létesítmény mérnök, 

gépészmérnök épületgépészeti szakirány"$"3 év 



4 év"
$Építményvillamossági szakterület$ME-V$Építmények és szabad terek közép- és kisfeszültségû rendszerei (kül- és beltéri világítás, villámvédelem, folyamatirányítás, építményautomatika, távközlési és informatikai hálózat, villamos energiaellátó rendszerek szerelési munkáinak mûszaki ellenõrzése a fogyasztói oldaltól a közcélú csatlakozási pontig)$"okleveles villamosmérnök, 

villamosmérnök"$"3 év 

4 év"
$Közlekedési építmények szakterület$ME-KÉ$Közúti, vasúti (közúti villamos vasút, földalatti vasút is), légi közlekedési, hajózási építmények (így különösen annak mûtárgyai: híd, áteresz, alagút, aluljáró, támfal) berendezései, tartozékai, vízelvezetése és zajvédelme építési munkáinak mûszaki ellenõrzése korlátozás nélkül.$"okleveles építõmérnök,
építõmérnök, 
mélyépítõ-, 
közlekedés építõmérnök"$"3 év


4 év"
$Közlekedési építmények szakterület vasút-villamossági építmények részszakterület$ME-KÉ-VV$"Vasúti-villamossági építmények (vasút-villamosítás, villamosenergia-ellátás, energia távvezérlés villamossági berendezések létesítése) építési munkáinak
mûszaki ellenõrzése korlátozás nélkül."$"okleveles villamosmérnök,

villamosmérnök"$"3 év

4 év"
$Hírközlési építmények szakterület$ME-HI$részszakterület szerint$részszakterület szerint$
$Hírközlési építmények szakterület vezetékes hírközlési építmények részszakterület$ME-HI-TÉ$"Az elektronikus hírközlési építmények, rendszerek létesítésének, felújításának és
átalakításának, bontásának építési mûszaki ellenõrzése korlátozás nélkül."$"okleveles villamosmérnök,

villamosmérnök"$"3 év

4 év"
$Hírközlési építmények szakterület vezeték nélküli hírközlési építmények részszakterület$ME-HI-TV$"A hírközléshez szükséges olyan sajátos építmények villamos szerelési munkái,
amelyek magukban foglalják a vezetékeket, a vezetékekkel és vezeték nélküli összeköttetésekkel összefüggõ mûtárgyakat."$"okleveles villamosmérnök,

villamosmérnök"$"3 év

4 év"
$Vízgazdálkodási építmények szakterület$ME-VZ$Vízgazdálkodási építmények építésének mûszaki ellenõrzése korlátozás nélkül$"okleveles építõmérnök,
okleveles vízmérnök,

építõmérnök, 
vízmérnök 
vízépítõ mérnök"$"3 év


5 év"
$Bányászati építmények szakterület$ME-B$"Szilárdásványi nyersanyagok bányászatával, kõolaj- és földgázbányászatával
kapcsolatos, valamint hévízbányászati (termálvíz) építmények építésének mûszaki ellenõrzése."$"okleveles bánya- és geotechnikai mérnök, 
okleveles gáz- és olajipari mérnök, 
okleveles bányagépészmérnök, 
okleveles elõkészítéstechnika mérnök,
okleveles gépészmérnök,

bánya- és geotechnikai mérnök,
földtudomány mérnök
gáz- és olajipari mérnök"$"3 év







4 év"
$Szénhidrogén-szállító vezetékek, gázelosztó vezetékek, célvezetékek, egyéb gáz és gáztermékvezetékek, propán-bután töltõ telepek és tartozékainak építése szakterület$ME-GO$Szénhidrogén-szállító vezetékek, gázelosztó vezetékek, célvezetékek, egyéb gáz és gáztermék vezetékek, propán-bután töltõ telepek és tartozékainak építésének mûszaki ellenõrzése.$"okleveles gáz- és olajipari mérnök,
gáz- és olajipari mérnök
okleveles gépészmérnök"$3 év
$Energiaellátási építmények szakterület$ME-EN$Energetikai, szénhidrogén-ipari építmények építésének mûszaki ellenõrzése korlátozás nélkül.$"okleveles gépészmérnök, 
okleveles energiamérnök

gépészmérnök"$"3 év


4 év"
$Energiaellátási építmények szakterület vegyipari építményeinek építése részszakterület$ME-EN-VE$Vegyipari építmények építésének mûszaki ellenõrzése.$"okleveles vegyészmérnök,

vegyészmérnök"$"3 év

4 év"
$Energiaellátási építmények szakterület távhõ termelésre és szállításra szolgáló sajátos mûszaki építmények építése részszakterület$ME-EN-TH$Föld feletti és föld alatti távhõvezetékek, azok tartozékai és védõberendezései építésének mûszaki ellenõrzése korlátozás nélkül.$"okleveles gépészmérnök, 
okleveles energetikai mérnök,

gépészmérnök, energetikai mérnök"$"3 év


4 év"
$Energiaellátási építmények szakterület villamosenergetikai részszakterület$ME-EN-VI$Föld feletti és föld alatti vezetékek, átalakító- és kapcsolóberendezések (nagy-, középfeszültség, kisfeszültségû hálózatoknál) építésének mûszaki ellenõrzése korlátozás nélkül.$"okleveles villamosmérnök,

villamosmérnök"$"3 év

4 év"
$Energiaellátási építmények szakterület atomenergia építmények részszakterület$ME-EN-A$Atomenergia építmények építésének építési mûszaki ellenõrzése$okleveles építõmérnök$5 év
$Építési szakterület$MV-É$"Általános építmények építésére, átalakítására, bõvítésére, felújítására, helyreállítására, korszerûsítésére, lebontására, elmozdítására irányuló építési- szerelési munkák felelõs mûszaki vezetése.
A mûszaki vezetés az Épkiv. 22. § (3) bekezdés c)-d) pontjában meghatározott szakági munkára nem vonatkozik."$"okleveles építészmérnök, 
okleveles építõmérnök, 

építészmérnök, építõmérnök,"$"3 év


4 év"
$Építési szakterület részszakterülete$MV-É-R$Az építési szakterület (MV-É) szerinti építési-szerelési munkák felelõs mûszaki vezetése az Épkiv. 22. § (1) bekezdés b) pont bc) alpontjában meghatározott méretet, jellemzõt meg nem haladó építmény esetén.$"szakirányú építõipari technikusi, 
szakirányú építõipari szakközépiskola"$5 év
$"Építési szakterület
mûemléki
részszakterülete"$MV-É-M$Az építési szakterület (MV-É) szerinti építési-szerelési munkák felelõs mûszaki vezetése mûemlék építmény esetén.$okleveles építészmérnök$5 év
$Mélyépítési és mélyépítési mûtárgyak szakterület$MV-M$Az építményhez szerkezetileg vagy funkciójában kapcsolódó alapozási, szennyvíztisztítási, szennyvíztárolási, szivárgó, víztelenítési, mûtárgyépítési, föld- és tereprendezési, valamint felszíni vízelvezetési munkáinak felelõs mûszaki vezetése.$"okleveles építõmérnök,

építõmérnök"$"3 év

4 év"
$Építménygépészeti szakterület$MV-ÉG$Építmények fûtési, szellõzési, valamint az építményen, illetõleg telekhatáron belüli vízellátási, csatornázási és gázhálózat-szerelési központi, klímaberendezéseinek építés-szerelési munkáinak felelõs mûszaki vezetése a mérõóráig korlátozás nélkül.$"okleveles gépészmérnök
épületgépészeti szakirány, 
okleveles létesítmény mérnök épületgépészeti szakirány,

gépészmérnök épületgépész szakirány"$"3 év




4 év"
$Építménygépészeti szakterület részszakterülete$MV-ÉG-R$Az építési szakterület részszakterületénél (MV-É-R) meghatározott építmények fûtési, szellõzési, valamint az építményen, illetõleg telekhatáron belüli vízellátási, csatornázási és gázhálózat-szerelési központi, klímaberendezéseinek építés-szerelési munkáinak felelõs mûszaki vezetése a mérõóráig.$"szakirányú építõipari technikusi, 
szakirányú építõipari szakközépiskola"$5 év
$Építményvillamossági szakterület$MV-ÉV$Építmények és szabad terek közép- és kisfeszültségû rendszerei (kül- és beltéri világítás, villámvédelem, folyamatirányítás, építményautomatika, távközlési és informatikai hálózat, villamos energiaellátó rendszerek a fogyasztói oldaltól a közcélú csatlakozási pontig) szerelési munkáinak felelõs mûszaki vezetése.$"okleveles villamosmérnök,

villamosmérnök"$"3 év

4 év"
$Építményvillamossági szakterület részszakterülete$MV-ÉV-R$Az építési szakterület részszakterületénél (MV-É-R) meghatározott építmények villamos, hírközlõ és épületfelügyeleti rendszer berendezései - az épület fogyasztásmérõ készülékéig - szerelési munkáinak felelõs mûszaki vezetése$"szakirányú felsõfokú technikus,
villamosipari technikus"$5 év
$Közlekedési építmények szakterület$MV-KÉ$"Közlekedési építmények és az azokhoz szerkezetileg vagy funkcionálisan
kapcsolódó építményrészek, mérnöki létesítmények - az 1. részbe tartozó építmények kivételével - építés-szerelési munkáinak felelõs mûszaki vezetése.
Az alábbi építmények építés-szerelési munkáinak felelõs mûszaki vezetése korlátozás nélkül:
a) út, kerékpárút, gyalogosút, térburkolat,
b) vasút, földalatti vasút, sikló, függõpálya, sífelvonó,
c) repülõtér, kikötõ,
d) az a)-c) pontban meghatározott építmények mûtárgyai (híd, áteresz, alagút, aluljáró, támfal stb.),
e) az a)-c) pontban meghatározott építmények berendezései, tartozékai, zajvédelmi létesítményei és vízelvezetése a befogadóig."$"okleveles építõmérnök,

építõmérnök, 
mélyépítési mérnök, 
közlekedésépítési mérnök, 
vízellátási mérnök, 
csatornázási mérnök, 
vízgazdálkodási mérnök"$"3 év

4 év"
$Közlekedési építmények szakterület részszakterülete$MV-KÉ-R$"A közlekedési építmények szakterületnél (MV-KÉ) meghatározott építmények építési-szerelési munkáinál az alábbi korlátozásokkal:
a) út: gyorsforgalmi utak és létesítményeik kivételével,
b) közúti mûtárgy: szabadnyílású híd 4 m-ig, áteresz 2 m átmérõig, támfal 3 m magasságig,
c) vasút: 1000 m vágányhosszúságig és 5 csoport kitérõig,
d) vasúti mûtárgy: a vasúti építmények engedélyezésérõl szóló jogszabályban a hatósági engedély nélkül létesíthetõ mûtárgyak,
e) felújítás, átalakítás, bõvítés, javítás-karbantartás, elbontás építési-szerelési korlátozás nélkül."$"közlekedésépítõ technikus, 
útépítõ technikus,
vasútépítõ technikus, 
hídépítõ technikus,
mélyépítõ technikus"$5 év
$Vasútvillamossági építmények szakterület$MV-VV$"A vasút villamosítás, villamosenergia-ellátás, energia-távvezérlés és villamos üzemû biztosítóberendezések építményei, berendezései építés-szerelési
munkáinak felelõs mûszaki vezetése korlátozás nélkül."$"okleveles villamosmérnök, okleveles közlekedésmérnök,

villamosmérnök, közlekedésmérnök"$"3 év


4 év"
$Vasútvillamossági építmények szakterület részszakterülete$MV-VV-R$"A vasútvillamossági építmények szakterületnél (MV-VV) meghatározott
építmények építés-szerelési munkáinak felelõs mûszaki vezetése, az alábbi korlátozásokkal:
a) vasúti villamos felsõvezeték, illetve vasúti biztosítóberendezések létesítése, átalakítása, amelyek a vasúti építmények engedélyezésérõl szóló jogszabályban hatósági engedély nélkül létesíthetõk,
b) felújítás, átalakítás, bõvítés, javítás-karbantartás, elbontás esetében korlátozás nélkül."$"vasút-villamossági technikus,
vasútgépészeti technikus"$5 év
$Hírközlési építmények szakterület$MV-TE$"A hírközléshez szükséges olyan sajátos építmények építési-szerelési munkáinak felelõs mûszaki vezetése, amelyek magukba foglalják a vezetékeket, a vezetékekkel és vezeték nélküli összeköttetésekkel összefüggõ (burkoló, tartó, védõ, jelzõ stb.) mûtárgyakat, különösen a tartozékokat és tartószerkezeteket, az antennatartó-
